paper_id	venue	authors	year	title	index_keys	author_keys	abstract
811C1626	International Conference on Data Mining	oded mainon + lior rokach	2001	Theory and applications of attribute decomposition	databases + pattern classification + attribute decomposition + records + data mining + testing + greedy procedure + classification model + bayesian methods + learning artificial intelligence + predictive models + industrial engineering + data visualization + Bayes methods + D-IFN + learning (artificial intelligence) + Bayesian combination + principal component analysis + subsets	AuthorProvided Keywords Not Found	This paper examines the attribute decomposition approach with simple Bayesian combination for dealing with classification problems that contain high number of attributes and moderate numbers of records. According to the attribute decomposition approach, the set of input attributes is automatically decomposed into several subsets. A classification model is built for each subset, then all the models are combined using simple Bayesian combination. This paper presents theoretical and practical foundation for the attribute decomposition approach. A greedy procedure, called D-IFN, is developed to decompose the input attributes set into subsets and build a classification model for each subset separately. The results achieved in the empirical compart. son testing with well-known classification methods (like C4.5) indicate the superiority of the decomposition approach
7F302FC1	International Conference on Data Mining	marzena kryszkiewicz	2001	Concise representation of frequent patterns based on disjunction-free generators	association rule + pattern classification + concise representation + frequent patterns + data mining + disjunction-free generators + association rules + sequential patterns + rule discovery + set theory + relational databases + lossless representations + computer science + clustering algorithms + very large databases + knowledge based systems + theorem proving + frequent pattern discovery + data mining problems + frequent itemsets	AuthorProvided Keywords Not Found	Many data mining problems require the discovery of frequent patterns in order to be solved. Frequent itemsets are useful in the discovery of association rules, episode rules, sequential patterns and clusters. The number of frequent itemsets is usually huge. Therefore, it is important to work out concise representations of frequent itemsets. We describe three basic lossless representations of frequent patterns in a uniform way and offer a new lossless representation of frequent patterns based on disjunction-free generators. The new representation is more concise than two of the basic representations and more efficiently computable than the third representation. We propose an algorithm for determining the new representation
8033184B	International Conference on Data Mining	junesuh cho + nabil r adam	2001	Efficient splitting rules based on the probabilities of pre-assigned intervals	image object classification + image classification + classification methods + probability + tree searching + splitting rules + rule based + optimisation + split rules + optimal tree + pre-assigned interval probabilities + knowledge based systems + threshold values + optimal cutoff point + computational complexity	AuthorProvided Keywords Not Found	The paper describes novel methods for classification in order to find an optimal tree. Unlike the current splitting rules that are provided by searching all threshold values, the paper proposes splitting rules that are based on the probabilities of pre-assigned intervals. In experiments, we demonstrate that our methods properly classify image objects based on new split rules
80B05405	International Conference on Data Mining	david j hand + richard j bolton	2001	Significance tests for patterns in continuous data	pattern analysis + mathematics + data mining + probability + testing + earthquake locations + flow cytometry measurements + uncertainty handling + California + sequences + uncertainty + continuous data patterns + statistical tests + statistical test + very large databases + large data sets + detected pattern uncertainty + phytoplankton + flow cytometry + statistical analysis + significance tests	AuthorProvided Keywords Not Found	The authors consider the question of uncertainty of detected patterns in data mining. In particular, we develop statistical tests for patterns found in continuous data, indicating the significance of these patterns in terms of the probability that they have occurred by chance. We examine the performance of these tests on patterns detected in several large data sets, including a data set describing the locations of earthquakes in California and another describing flow cytometry measurements on phytoplankton
7F7E5056	International Conference on Data Mining	changhung lee + chengru lin + mingsyan chen	2001	On mining general temporal association rules in a publication database	transaction processing + association rule + 2-itemset + filtering threshold + cumulant + data mining + association rules + marketing data processing + transactions + association rule mining + exhibition periods + progressive-partition-miner algorithm + very large databases + general temporal association rule mining + publication database	AuthorProvided Keywords Not Found	In this paper, we explore a new problem of mining general temporal association rules in publication databases. In essence, a publication database is a set of transactions where each transaction T is a set of items, each containing an individual exhibition period. The current model of association rule mining is not able to handle a publication database due to the following fundamental problems: (1) lack of consideration of the exhibition period of each individual item; and (2) lack of an equitable support counting basis for each item. To remedy this, we propose an innovative algorithm, progressive-partition-miner (PPM), to discover general temporal association rules in a publication database. The basic idea of PPM is to first partition the publication database into exhibition periods of items and then progressively accumulate the occurrence count of each candidate 2-itemset based on the intrinsic partitioning characteristics. PPM is also designed to employ a filtering threshold in each partition to prune out those cumulatively infrequent 2-itemsets at an early stage. Explicitly, the execution time of PPM is, in orders of magnitude, smaller than those required by schemes which are directly extended from existing methods
80B3895C	International Conference on Data Mining	zarrin langari + frank wm tompa	2001	Subject classification in the Oxford English Dictionary	iterative methods + k nearest neighbors + senses + data mining + classification metrics + subject classification + nearest neighbor + multiple signal classification + computer science + term weighting + naive bayes + labeling + information retrieval method + definitions + testing + information retrieval + lexical information + classification + cited quotations + labels + information guide + subject labels + speech + iterative probabilistic method + naive Bayes + expectation maximization + Bayes methods + probabilistic method + Oxford English Dictionary + highly structured text mining + dictionaries	AuthorProvided Keywords Not Found	The Oxford English Dictionary is a valuable source of lexical information and a rich testing ground for mining highly structured text. Each entry is organized into a hierarchy of senses, which include definitions, labels and cited quotations. Subject labels distinguish the subject classification of a sense, for example they signal how a word may be used in anthropology, music or computing. Unfortunately subject labeling in the dictionary is incomplete. To overcome this incompleteness, we attempt to classify the senses (i.e., definitions) in the dictionary by their subjects, using the citations as an information guide. We report on four different approaches: k nearest neighbors, a standard classification technique; term weighting, an information retrieval method dealing with text; naive Bayes, a probabilistic method; and expectation maximization, an iterative probabilistic method. Experimental performance of these methods is compared based on standard classification metrics
7DD610EC	International Conference on Data Mining	chingyao wang + tzungpei hong + shianshyong tseng	2001	Maintenance of sequential patterns for record deletion	record deletion + very large databases + upper support threshold + data mining + safety bound + deleted customer sequences + incremental mining algorithm + sequential pattern maintenance + sequences + pre-large sequences + lower support threshold	AuthorProvided Keywords Not Found	We previously proposed an incremental mining algorithm for maintenance of sequential patterns based on the concept of pre-large sequences as new records were inserted. In this paper we attempt to apply the concept of pre-large sequences to maintain sequential patterns as records are deleted. Pre-large sequences are defined by a lower support threshold and an upper support threshold. They act as buffers to avoid the movements of sequential patterns directly from large to small and, vice-versa. Our proposed algorithm does not require rescanning original databases until the accumulative amount of deleted customer sequences exceeds a safety bound, which depends on database size. As databases grow larger, the number of deleted customer sequences allowed before database rescanning is required also grows. The proposed approach is thus efficient for a large database
64D0F43A	International Conference on Data Mining	henri briand + pascale kuntz + francois velin	2001	Web cartography for online site promotion: an algorithm for clustering Web resources	spectral decomposition + application software + iterative methods + search engines + hyperlink creation + data mining + hypermedia + corpus + matrix decomposition + business graphics + Web cartography + candidate sites + navigation + graphs + clustering algorithms + text data + data visualisation + iterative approach + geometric space + online site promotion + Laplacian matrix + graph partitioning + strongly connected sites + computer aided design + information resources + stress + site graph partitioning problem + maps + link network + computer-aided design + targeted visitor flow + marketing data processing + design automation + pattern clustering + Cognac + graph analyses + semantic analyses + World Wide Web resource clustering algorithm + laplacian matrix	AuthorProvided Keywords Not Found	Presents a Web cartography approach to be used in the context of online site promotion. The overall objective is to provide users with handy maps offering information about candidate sites for the creation of hyperlinks that enable a large flow of targeted visitors. Two main types of data must be considered: texts and hyperlinks. We propose to exploit the latter to construct a relevant corpus on which semantic as well as graph analyses can be applied. The stress is put on the clustering of Web resources based on the link network, which makes it possible to highlight groups of strongly connected sites which are of the utmost interest for our application. To tackle the site graph partitioning problem, we turn to a promising iterative approach initially developed in the context of computer-aided design. It uses spectral decomposition of the Laplacian matrix to embed the considered graph in a geometric space where efficient methods can be applied. An algorithm that was adapted from an existing one implements the method. Experiments were conducted on a real application case concerning the promotion of a site dealing with Cognac. We present the obtained map as well as leads to exploit it
7EC858CC	International Conference on Data Mining	anders holst + daniel gillblad	2001	Dependency derivation in industrial process data	dependency derivation + data mining + time series + industrial process data + manufacturing data processing + mutual information rate + entropy + computer science + optimization + time measurement + probability distribution + variable selection + mutual information + dependency graphs	AuthorProvided Keywords Not Found	In many industrial processes, finding dependencies and the creation of dependency graphs can increase the understanding of the system significantly. This knowledge can then be used for further optimization and variable selection. Most of the measured attributes in these cases come in the form of time series. There are several ways of determining correlation between series, most of them suffering from specific problems when applied to real-world data. Here, a well performing measure based on the mutual information rate is derived and discussed with results from both synthetic and real data
5FE9C8DA	International Conference on Data Mining	joao gama	2001	Functional trees for classification	discriminant function + benchmark data sets + statistical significance + data mining + supervised learning + generalization ability + multiple representation languages + statistically significant confidence levels + leaf nodes + multivariate tests + decision tree learning + functional leaves + decision tree + regression domains + model sizes + linear model + univariate decision tree + search space + pattern classification + algorithm design and analysis + space exploration + testing + functional trees + model-tree algorithms + multivariate tree generation + confidence level + classification + generalisation (artificial intelligence) + tree searching + linear models + attribute combinations + decision trees + tree pruning + constructive induction + search spaces + decision nodes + decision tests + learning by example + algorithm design	AuthorProvided Keywords Not Found	The design of algorithms that explore multiple representation languages and explore different search spaces has an intuitive appeal. In the context of classification problems, algorithms that generate multivariate trees are able to explore multiple representation languages by using decision tests based on a combination of attributes. The same applies to model-tree algorithms in regression domains, but using linear models at leaf nodes. In this paper, we study where to use combinations of attributes in decision tree learning. We present an algorithm for multivariate tree learning that combines a univariate decision tree with a discriminant function by means of constructive induction. This algorithm is able to use decision nodes with multivariate tests, and leaf nodes that predict a class using a discriminant function. Multivariate decision nodes are built when growing the tree, while functional leaves are built when pruning the tree. Functional trees can be seen as a generalization of multivariate trees. Our algorithm was compared against to its components and two simplified versions using 30 benchmark data sets. The experimental evaluation shows that our algorithm has clear advantages with respect to the generalization ability and model sizes at statistically significant confidence levels
